Game_number,Map,Pseudo,Team,Round_number,shots_fired,4v4,damage_team,death,round_won,damage_ennemy_team,5v4,numero_equipe,shots_fired_Knife,dmg_received,shots_fired_AWP,5v3,3v3,4v3,0v3,shots_fired_Glock-18,shots_hit_Glock-18,hits_chest,2v3,dmg,shots_hit,1v3,dmg_Glock-18,flashed_by_ennemies,shots_fired_Dual Berettas,kills,shots_fired_AK-47,kills_AWP,2v2,hits_stomach,2v1,1v1,dmg_AWP,shots_hit_AWP,3v2,0v1,dmg_AK-47,shots_fired_HE Grenade,shots_hit_AK-47,dmg_M4A4,shots_hit_M4A4,kills_M4A4,4v2,shots_fired_M4A4,hits_head,5v2,3v1,shots_hit_M4A1,5v5,hits_right_arm,hits_left_leg,shots_fired_M4A1,dmg_M4A1,hits_right_leg,4v0,hits_,shots_fired_Smoke Grenade,4v1,dmg_HE Grenade,shots_hit_HE Grenade,ennemies_flashed,shots_fired_Flashbang,2v0,teammates_flashed,auto_flash,0v2,0v0,2v4,2v5,shots_hit_USP-S,shots_fired_USP-S,4v5,dmg_USP-S,3v5,3v4,shots_hit_Dual Berettas,1v5,0v5,dmg_Dual Berettas,shots_fired_FAMAS,shots_hit_FAMAS,dmg_FAMAS,shots_fired_MAC-10,kills_MAC-10,shots_hit_MAC-10,dmg_MAC-10,kills_M4A1,hits_left_arm,1v2,kills_AK-47,kills_FAMAS,kills_Glock-18,3v0,1v0,kills_USP-S,5v1,5v0,shots_fired_Molotov,1v4,0v4,shots_hit_MP9,shots_fired_MP9,dmg_MP9,shots_fired_Incendiary Grenade,kills_MP9,shots_fired_Decoy Grenade,dmg_Desert Eagle,shots_hit_Knife,dmg_Knife,shots_hit_Desert Eagle,shots_fired_Desert Eagle,shots_fired_Tec-9,dmg_Tec-9,shots_hit_Tec-9,kills_Tec-9,shots_fired_SSG 08,dmg_SSG 08,shots_hit_SSG 08,kills_Desert Eagle,shots_fired_G3SG1,kills_SSG 08,shots_fired_p250,dmg_UMP-45,shots_hit_UMP-45,shots_fired_UMP-45,shots_fired_P2000,dmg_P2000,shots_hit_P2000,kills_Knife,kills_P2000,dmg_p250,kills_p250,shots_hit_p250,dmg_Smoke Grenade,dmg_Galil AR,kills_Galil AR,shots_hit_Smoke Grenade,shots_hit_Galil AR,shots_fired_Galil AR,shots_fired_Five-SeveN,shots_fired_P90,dmg_P90,kills_P90,shots_hit_P90,kills_World,shots_hit_Molotov,dmg_Molotov,dmg_AUG,kills_AUG,shots_fired_AUG,shots_hit_AUG,shots_fired_Zeus x27,dmg_Five-SeveN,shots_hit_Five-SeveN,dmg_Incendiary Grenade,shots_hit_Incendiary Grenade,shots_hit_MAG-7,shots_fired_MAG-7,dmg_MAG-7,shots_fired_R8 Revolver,shots_hit_R8 Revolver,dmg_R8 Revolver,kills_MAG-7,kills_Incendiary Grenade,shots_hit_Negev,shots_fired_Negev,dmg_Negev,kills_Molotov,kills_Dual Berettas,kills_HE Grenade,shots_hit_MP7,shots_fired_MP7,kills_MP7,dmg_MP7,dmg_CZ75 Auto,shots_hit_CZ75 Auto,shots_fired_CZ75 Auto,shots_hit_MP5-SD,dmg_MP5-SD,kills_MP5-SD,shots_fired_MP5-SD,kills_Five-SeveN,shots_fired_Sawed-Off,shots_hit_Sawed-Off,kills_Sawed-Off,dmg_Sawed-Off,shots_fired_Nova,shots_hit_Nova,dmg_Nova,shots_fired_XM1014,dmg_XM1014,shots_hit_XM1014,kills_XM1014,kills_UMP-45,kills_SCAR-20,shots_fired_SCAR-20,dmg_SCAR-20,shots_hit_SCAR-20,shots_fired_SG 553,shots_fired_PP-Bizon,shots_hit_PP-Bizon,dmg_PP-Bizon,kills_PP-Bizon,dmg_SG 553,kills_SG 553,shots_hit_SG 553,kills_CZ75 Auto,kills_Negev,shots_hit_Zeus x27,dmg_Zeus x27,kills_Zeus x27,kills_R8 Revolver,kills_Nova,shots_hit_Flashbang,dmg_Flashbang,dmg_G3SG1,shots_hit_G3SG1
1,de_nuke,ARRRRRRRRR,T,1,30,1,100,1,0,500,1,2,0,100,0,0,0,0,0,0,0,2,0,100,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,3,1,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,1,5,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,de_nuke,D22,T,1,4,1,100,1,0,500,1,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,de_nuke,Dr. Carry,T,1,3,1,100,1,0,500,1,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,de_nuke,HardChiller,T,1,3,1,100,1,0,500,1,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,de_nuke,LaMasse,CT,1,16,0,500,1,1,100,0,1,0,100,0,0,0,0,0,0,0,0,0,82,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,82,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,de_nuke,MAREGA,CT,1,7,1,500,0,1,100,0,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,de_nuke,Montanelas ( ͡° ͜ʖ ͡,CT,1,14,1,500,0,1,100,0,1,0,0,0,0,0,1,0,0,0,1,0,164,6,0,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,14,164,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,de_nuke,Pix,CT,1,53,1,500,0,1,100,0,1,2,0,0,0,0,1,0,0,0,5,0,141,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,1,0,0,50,87,0,1,3,0,1,54,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,de_nuke,TACOS,CT,1,30,1,500,0,1,100,0,1,0,0,0,0,0,1,0,0,0,1,0,113,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,113,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,de_nuke,Tomkos,T,1,2,1,100,1,0,500,1,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,de_nuke,Beetlejuice,T,1,10,1,493,1,1,497,0,2,0,100,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,de_nuke,Folcatus,CT,1,22,1,497,1,0,493,1,1,0,100,0,0,1,1,0,0,0,7,0,146,11,0,0,0,0,2,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,146,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
